requestedUrl,finalUrl,category,name,title,type,score
"https://thirstyhead.com/badstore/","https://thirstyhead.com/badstore/","Accessibility","th-has-data-cells","`<th>` elements and elements with `[role=""columnheader""/""rowheader""]` have data cells they describe.","notApplicable","-1"
"https://thirstyhead.com/badstore/","https://thirstyhead.com/badstore/","Accessibility","valid-lang","`[lang]` attributes have a valid value","notApplicable","-1"
"https://thirstyhead.com/badstore/","https://thirstyhead.com/badstore/","Accessibility","video-caption","`<video>` elements contain a `<track>` element with `[kind=""captions""]`","notApplicable","-1"
"https://thirstyhead.com/badstore/","https://thirstyhead.com/badstore/","Accessibility","logical-tab-order","The page has a logical tab order","manual","-1"
"https://thirstyhead.com/badstore/","https://thirstyhead.com/badstore/","Accessibility","focusable-controls","Interactive controls are keyboard focusable","manual","-1"
"https://thirstyhead.com/badstore/","https://thirstyhead.com/badstore/","Accessibility","interactive-element-affordance","Interactive elements indicate their purpose and state","manual","-1"
"https://thirstyhead.com/badstore/","https://thirstyhead.com/badstore/","Accessibility","managed-focus","The user's focus is directed to new content added to the page","manual","-1"
"https://thirstyhead.com/badstore/","https://thirstyhead.com/badstore/","Accessibility","focus-traps","User focus is not accidentally trapped in a region","manual","-1"
"https://thirstyhead.com/badstore/","https://thirstyhead.com/badstore/","Accessibility","custom-controls-labels","Custom controls have associated labels","manual","-1"
"https://thirstyhead.com/badstore/","https://thirstyhead.com/badstore/","Accessibility","custom-controls-roles","Custom controls have ARIA roles","manual","-1"
"https://thirstyhead.com/badstore/","https://thirstyhead.com/badstore/","Accessibility","visual-order-follows-dom","Visual order on the page follows DOM order","manual","-1"
"https://thirstyhead.com/badstore/","https://thirstyhead.com/badstore/","Accessibility","offscreen-content-hidden","Offscreen content is hidden from assistive technology","manual","-1"
"https://thirstyhead.com/badstore/","https://thirstyhead.com/badstore/","Accessibility","use-landmarks","HTML5 landmark elements are used to improve navigation","manual","-1"
